城市,公交名,首末班车时间,起始站,起始站经度,起始站纬度,终点站,终点站经度,终点站纬度,站点名,最高价,英文名,站数,经度,纬度,性质,线路ID,区号,区县编码,站点ID,总站数,发车间隔,线路总长度,基础价格,站点状态,ICCARD
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,长江南路,6,chang jiang nan lu,21,121.491482,31.332062,地铁,310100034535,021,310113,310100034535022,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,淞发路,6,song fa lu,22,121.50039,31.345135,地铁,310100034535,021,310113,310100034535023,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,张华浜,6,zhang hua bang,23,121.498671,31.358016,地铁,310100034535,021,310113,310100034535024,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,淞滨路,6,song bin lu,24,121.492818,31.370928,地铁,310100034535,021,310113,310100034535025,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,水产路,6,shui chan lu,25,121.488247,31.381302,地铁,310100034535,021,310113,310100034535026,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,宝杨路,6,bao yang lu,26,121.479574,31.395315,地铁,310100034535,021,310113,310100034535027,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,友谊路,6,you yi lu,27,121.475924,31.404016,地铁,310100034535,021,310113,310100034535028,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,铁力路,6,tie li lu,28,121.461139,31.40812,地铁,310100034535,021,310113,310100034535029,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,江杨北路,6,jiang yang bei lu,29,121.439819,31.407858,地铁,310100034535,021,310113,310100034535030,29,5-12分钟,40.11045,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,宜山路,4,yi shan lu,1,121.427238,31.187082,地铁,310100034537,021,310104,310100034537002,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,上海体育馆,4,shang hai ti yu guan,2,121.437423,31.182813,地铁,310100034537,021,310104,310100034537003,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,上海体育场,4,shang hai ti yu chang,3,121.443529,31.185605,地铁,310100034537,021,310104,310100034537004,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,东安路,4,dong an lu,4,121.454897,31.190819,地铁,310100034537,021,310104,310100034537005,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,大木桥路,4,da mu qiao lu,5,121.463278,31.194057,地铁,310100034537,021,310104,310100034537006,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,鲁班路,4,lu ban lu,6,121.475148,31.199221,地铁,310100034537,021,310101,310100034537007,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,西藏南路,4,xi cang nan lu,7,121.489555,31.201967,地铁,310100034537,021,310101,310100034537008,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,南浦大桥,4,nan pu da qiao,8,121.499725,31.208504,地铁,310100034537,021,310101,310100034537009,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,塘桥,4,tang qiao,9,121.51869,31.209762,地铁,310100034537,021,310115,310100034537010,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,蓝村路,4,lan cun lu,10,121.5279,31.211563,地铁,310100034537,021,310115,310100034537011,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,浦电路(4号线),4,pu dian lu (4 hao xian ),11,121.53208,31.222285,地铁,310100034537,021,310115,310100034537012,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,世纪大道,4,shi ji da dao,12,121.527221,31.228764,地铁,310100034537,021,310115,310100034537013,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,浦东大道,4,pu dong da dao,13,121.519385,31.239974,地铁,310100034537,021,310115,310100034537014,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,杨树浦路,4,yang shu pu lu,14,121.51721,31.251935,地铁,310100034537,021,310109,310100034537015,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,大连路,4,da lian lu,15,121.513088,31.257938,地铁,310100034537,021,310109,310100034537016,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,临平路,4,lin ping lu,16,121.500696,31.260874,地铁,310100034537,021,310109,310100034537017,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,海伦路,4,hai lun lu,17,121.489637,31.259009,地铁,310100034537,021,310109,310100034537018,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,宝山路,4,bao shan lu,18,121.476298,31.251523,地铁,310100034537,021,310106,310100034537019,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,上海火车站,4,shang hai huo che zhan,19,121.457939,31.249632,地铁,310100034537,021,310106,310100034537020,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,中潭路,4,zhong tan lu,20,121.441001,31.254568,地铁,310100034537,021,310107,310100034537021,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,镇坪路,4,zhen ping lu,21,121.429779,31.246369,地铁,310100034537,021,310107,310100034537022,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,曹杨路,4,cao yang lu,22,121.417701,31.239302,地铁,310100034537,021,310107,310100034537023,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,金沙江路,4,jin sha jiang lu,23,121.41315,31.232004,地铁,310100034537,021,310107,310100034537024,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,中山公园,4,zhong shan gong yuan,24,121.415741,31.218014,地铁,310100034537,021,310105,310100034537025,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,延安西路,4,yan an xi lu,25,121.417062,31.209616,地铁,310100034537,021,310105,310100034537026,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,虹桥路,4,hong qiao lu,26,121.420814,31.197524,地铁,310100034537,021,310105,310100034537027,27,5-10分钟,33.79538,3,1,1
上海,地铁4号线,,宜山路,121.427238,31.187082,宜山路,121.427238,31.187082,宜山路,4,yi shan lu,27,121.427238,31.187082,地铁,310100034537,021,310104,310100034537028,27,5-10分钟,33.79538,3,1,1
上海,地铁5号线,06:00-22:00,闵行开发区,121.369712,31.000627,莘庄,121.385379,31.111193,闵行开发区,3,min xing kai fa qu,1,121.369712,31.000627,地铁,310100034539,021,310112,310100034539002,11,6-10分钟,16.57771,2,1,1
上海,地铁5号线,06:00-22:00,闵行开发区,121.369712,31.000627,莘庄,121.385379,31.111193,文井路,3,wen jing lu,2,121.380775,31.003597,地铁,310100034539,021,310112,310100034539003,11,6-10分钟,16.57771,2,1,1
上海,地铁5号线,06:00-22:00,闵行开发区,121.369712,31.000627,莘庄,121.385379,31.111193,华宁路,3,hua ning lu,3,121.395255,31.007467,地铁,310100034539,021,310112,310100034539004,11,6-10分钟,16.57771,2,1,1
上海,地铁5号线,06:00-22:00,闵行开发区,121.369712,31.000627,莘庄,121.385379,31.111193,金平路,3,jin ping lu,4,121.410186,31.011282,地铁,310100034539,021,310112,310100034539005,11,6-10分钟,16.57771,2,1,1
上海,地铁5号线,06:00-22:00,闵行开发区,121.369712,31.000627,莘庄,121.385379,31.111193,东川路,3,dong chuan lu,5,121.419901,31.018197,地铁,310100034539,021,310112,310100034539006,11,6-10分钟,16.57771,2,1,1
